Altium Designer Pick and Place Locations,,,,,,,,,
C:\Users\Owen\Desktop\PCB Designs\PCB-Practice-Board\Project Outputs for Board1\Pick Place for PCB1.csv,,,,,,,,,
,,,,,,,,,
========================================================================================================================,,,,,,,,,
File Design Information:,,,,,,,,,
,,,,,,,,,
Date:       23/01/25,,,,,,,,,
Time:       13:02,,,,,,,,,
Revision:   8264831d23b61f0f821ed5ef3dfc14b01245113e,,,,,,,,,
Variant:    No variations,,,,,,,,,
Units used: mil,,,,,,,,,
,,,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description,,
U1,NE555DR,TopLayer,TS555IDTTR,900,700,0,555 Timer SOIC-8_150MIL ROHS 150ns Rise Time,,
TP3,10x Probe TP,TopLayer,TP10x_Probe,2375,155,0,Test Point 300 mil centers,,
TP2,10x Probe TP,TopLayer,TP10x_Probe,1700,550,270,Test Point 300 mil centers,,
TP1,10x Probe TP,TopLayer,TP10x_Probe,350,1325,0,Test Point 300 mil centers,,
SW2,SW_2Pin_100mil_Switch,TopLayer,2Pin-Header-Conn,1650,1000,0,2Pin Header,,
SW1,SW_2Pin_100mil_Switch,TopLayer,2Pin-Header-Conn,1040,1150,270,2Pin Header,,
RS,1k,TopLayer,1206_Passive_Resitor,1500,1750,90,CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS,,
RB,10k,TopLayer,1206_Passive_Resitor,450,700,0,"10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film",,
RA,1k,TopLayer,1206_Passive_Resitor,450,900,0,CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS,,
R4,10k,TopLayer,1206_Passive_Resitor,3125,525,90,"10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film",,
R3,1k,TopLayer,1206_Passive_Resitor,2825,525,90,CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS,,
R2,300 Ohm,TopLayer,1206_Passive_Resitor,2525,525,90,CHIP RESISTOR - SURFACE MOUNT 300OHMS ±1% 1/4W 1206 ROHS,,
R1,47 Ohms,TopLayer,1206_Passive_Resitor,2225,525,90,47O ±5% 0.25W ±200ppm/? 1206 Chip Resistor - Surface Mount RoHS,,
P1,Power Jack,TopLayer,Power_Jack,478.11,1668.465,180,Power Barrel Connector Jack 2.10mm ID (0.083)," 5.50mm OD (0.217"") Through Hole"," Right Angle"""
DS,Red,TopLayer,LED_1206,1200,1750,270,Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS,,
D4,Green,TopLayer,LED_1206,3125,825,270,Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS,,
D3,Green,TopLayer,LED_1206,2825,825,270,Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS,,
D2,Green,TopLayer,LED_1206,2525,825,270,Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS,,
D1,Green,TopLayer,LED_1206,2225,825,270,Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS,,
CS,10uF,TopLayer,1206_Passive_Capacitor,900,1750,90,10uF ±10% 50V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS,,
C2,0.1uF,TopLayer,1206_Passive_Capacitor,450,500,180,50V 100nF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,
C1,10uF,TopLayer,1206_Passive_Capacitor,1255,775,180,10uF ±10% 50V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS,,
